ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
2,null,Chronic obstructive pulmonary disease,fluticasone propionate; salmeterol,Phase 3 Clinical,C3,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,100,fluticasone furoate; vilanterol,100,null,"A 12-week study to compare the 24 h action to restore lung function with the combination of fluticasone furoate (FF) / vilanterol (VI), produced in the form of powder for inhalation and used by patients with chronic obstructive pulmonary disease (COPD), qd, and the combination of salmeterol / fluticasone propionate (FP), in the form of powder for inhalation, applied bid",2010-021059-25; HZC113107,GlaxoSmithKline plc,165373,"FEBRUARY , 22, 2011",Completed
3+,null,Chronic obstructive pulmonary disease,null,Phase 1 Clinical,C1,"fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion",81111,50,"Charcoal; Seretide Diskus; Seretide Diskus; fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion; fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion",50,null,Comparison of Salmeterol and Fluticasone Propionate Absorption From Salmeterol/Fluticasone Easyhaler and Seretide Diskus,3106007; EudraCT 2012-00378-41; NCT01766843,Orion Corp,104633,"JANUARY  , 31, 2013",Completed
2,null,Ocular infection,prednisolone acetate,Phase 3 Clinical,C3,"tobramycin + prednisolone acetate (ophthalmic), ISTA",53134,132,"tobramycin + prednisolone acetate (ophthalmic), ISTA",132,null,A Bioequivalence Study of Tobramycin and Prednisolone Acetate Compared to PredForte,ISTA-TP-CPK01; NCT00198523,ISTA Pharmaceuticals Inc,10077,"JULY     , 31, 2005",Completed
2+,null,Retinopathy,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,9,aflibercept; aflibercept; triamcinolone acetonide; verteporfin,9,PED,A Study Testing if Medicine Can Make Pigment Epithelium Detachments Regress and Stabilize the Vision in Eyes,2012/1743; NCT01746875; PED,Norwegian University of Science and Technology (NTNU),101391,"FEBRUARY , 28, 2014",Terminated
2,null,Atopic dermatitis,mometasone,Phase 2 Clinical,C2,"auranofin + mometasone furoate (Sorafin dermatological formulation), Viralytics",57631,56,Sorafin-AD,52,null,Phase II proof-of-concept trial of Sorafin-AD ointment versus topical mometasone in adults with atopic dermatitis,PSX-AD-001,Viralytics Ltd,69513,"AUGUST   , 09, 2005",Status not specified
2,null,Asthma,null,Phase not specified,NS,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,658,"ciclesonide (metered dose inhaler), Nycomed; fluticasone",528,STAR,"A randomized, open-label, parallel-group study to compare the safety and efficacy of twice-daily inhaled ciclesonide and fluticasone propionate in patients with moderate-to-severe persistent asthma",BY9010/M1-134; STAR,Takeda GmbH,76911,"NOVEMBER , 28, 2006",Status not specified
2,null,Perennial allergic rhinitis,fluticasone propionate,Phase 3 Clinical,C3,dexamethasone cipecilate,12806,null,dexamethasone cipecilate,null,null,"Phase III, parallel group, comparative trial of NS-126C and fluticasone propionate in patients with perennial allergic rhinitis",JapicCTI-050155,"Hisamitsu Pharmaceutical Co Inc, Nippon Shinyaku Co Ltd",104452,"OCTOBER  , 20, 2005",Completed
3,Glucose; Insulin; Serum albumin (ALB); Serum corticosteroid-binding globulin (CBG); Serum cortisol,Adrenal gland hypofunction,hydrocortisone,Phase 1 Clinical,C1,"hydrocortisone (oral granules, adrenal insufficiency), Diurnal/Emerge Health/Medison Pharma",79146,14,"dexamethasone; hydrocortisone (oral granules, adrenal insufficiency), Diurnal",14,null,An Investigational Study of Hydrocortisone,INFACORT 002; NCT01960530,Diurnal Ltd,157428,"OCTOBER  , 31, 2013",Completed
1,null,Xerophthalmia,null,Phase 2 Clinical,C2,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",55599,722,difluprednate,722,null,Evaluation of Anti-Inflammatory Treatment in Dry Eye Patients,C-10-078; NCT01276223,Alcon Research Ltd,73801,"FEBRUARY , 28, 2011",Completed
3,Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,430,Relovair; fluticasone; fluticasone furoate,430,null,A Study to Compare the Efficacy and Safety of Fluticasone Furoate (FF) 100 microg qd With Fluticasone Propionate (FP) 250 microg bid and FP 100 microg bid in Well-Controlled Asthmatic Japanese Subjects,201135; JapicCTI-142503; NCT02094937,GlaxoSmithKline plc,178963,"MARCH    , 27, 2014",Completed
